data_inicio_atividade,uf,quantidade
2017-12-01,MA,3
2017-12-01,MG,23
2017-12-01,MS,2
2017-12-01,MT,3
2017-12-01,PA,1
2017-12-01,PB,3
2017-12-01,PE,7
2017-12-01,PI,1
2017-12-01,PR,6
2017-12-01,RJ,27
2017-12-01,RN,2
2017-12-01,RR,1
2017-12-01,RS,15
2017-12-01,SC,9
2017-12-01,SE,1
2017-12-01,SP,47
2017-12-01,TO,1
2018-01-01,AL,4
2018-01-01,AM,5
2018-01-01,BA,17
2018-01-01,CE,12
2018-01-01,DF,5
2018-01-01,ES,11
2018-01-01,GO,11
2018-01-01,MA,1
2018-01-01,MG,33
2018-01-01,MS,8
2018-01-01,MT,7
2018-01-01,PA,11
2018-01-01,PB,5
2018-01-01,PE,12
2018-01-01,PI,6
2018-01-01,PR,18
2018-01-01,RJ,41
2018-01-01,RN,4
2018-01-01,RO,5
2018-01-01,RR,1
2018-01-01,RS,9
2018-01-01,SC,13
2018-01-01,SE,3
2018-01-01,SP,71
2018-01-01,TO,1
2018-02-01,AC,2
2018-02-01,AL,3
2018-02-01,AM,2
2018-02-01,BA,10
2018-02-01,CE,8
2018-02-01,DF,2
2018-02-01,ES,5
2018-02-01,GO,11
2018-02-01,MG,27
2018-02-01,MS,3
2018-02-01,MT,8
2018-02-01,PA,3
2018-02-01,PB,5
2018-02-01,PE,9
2018-02-01,PI,2
2018-02-01,PR,18
2018-02-01,RJ,20
2018-02-01,RN,3
2018-02-01,RO,4
2018-02-01,RR,1
2018-02-01,RS,11
2018-02-01,SC,16
2018-02-01,SP,76
2018-02-01,TO,2
2018-03-01,AL,2
2018-03-01,AM,3
2018-03-01,BA,12
2018-03-01,CE,7
2018-03-01,DF,10
2018-03-01,ES,10
2018-03-01,GO,10
2018-03-01,MA,3
2018-03-01,MG,31
2018-03-01,MS,3
2018-03-01,MT,12
2018-03-01,PA,3
2018-03-01,PB,4
2018-03-01,PE,7
2018-03-01,PI,4
2018-03-01,PR,19
2018-03-01,RJ,40
2018-03-01,RN,7
2018-03-01,RR,2
2018-03-01,RS,20
2018-03-01,SC,13
2018-03-01,SE,2
2018-03-01,SP,87
2018-03-01,TO,2
2018-04-01,AL,1
2018-04-01,AM,6
2018-04-01,AP,1
2018-04-01,BA,22
2018-04-01,CE,9
2018-04-01,DF,5
2018-04-01,ES,7
2018-04-01,GO,9
2018-04-01,MA,2
2018-04-01,MG,45
2018-04-01,MS,5
2018-04-01,MT,7
2018-04-01,PA,4
2018-04-01,PB,2
2018-04-01,PE,11
2018-04-01,PI,1
2018-04-01,PR,19
2018-04-01,RJ,44
2018-04-01,RN,2
2018-04-01,RO,1
2018-04-01,RR,1
2018-04-01,RS,12
2018-04-01,SC,10
2018-04-01,SE,1
2018-04-01,SP,78
2018-04-01,TO,3
2018-05-01,AC,2
2018-05-01,AM,4
2018-05-01,BA,13
2018-05-01,CE,11
2018-05-01,DF,6
